,program_name,accountability,active listening,adaptive,analytical,coach,commitment,communication,conceptual,conflict management,creativity,critical thinking,curiosity,decision,decision making,detail,diverse,eagerness,emotional intelligence,enthusiasm,ethic,flexibility,goal,hospitality,influence,initiative,integrity,interpersonal communication,leadership,mentor,motivate,negotiation,optimism,oral communication,passion,persuasion,presentation,problem solve,speak,strategic thinking
0,Biological Engineering,17.941453636242365,,1.0516563705089754,70.60870360602048,6.933588421424849,29.044978437929892,102.14572119116305,3.9879191051067915,1.6000586330127937,12.971872258788096,7.794261360283138,4.9115642966983195,20.963796470084887,3.6685815853991315,67.08191642482498,39.03581271814621,0.7257439538162694,,9.228527383120136,15.116374996405781,18.055250291654886,38.3688867518063,,7.075349822319381,51.8469809166201,20.585616282530527,16.805781218978016,32.81641484091063,11.734028402227016,41.690640930872696,2.389423231219915,,13.452018562692928,28.27190993389614,,38.14305648251954,46.71711022191158,9.96196352301627,
1,Biomedical Engineering,15.815538166102973,,0.841232642633608,58.376311699933964,6.491608179327151,22.64785919966907,81.4597564298286,3.1324749050892,1.5818869711787036,11.819906043842876,7.074043024625723,4.001940241686465,16.548987387647855,2.9151736419804046,53.85000295942715,32.71111002858101,0.7929629049356572,,8.51762508138259,12.557882248843077,14.734334472425141,32.868792184252186,,5.752758088078779,41.41209173693274,16.337438238350703,13.664469938401268,28.852159612156065,9.792450101523112,35.57709598458235,2.424736474342022,,11.255018676632087,25.240843029942283,,28.43010157288064,39.59485425023587,8.601912603692924,
2,Computer Engineering,27.791226289026756,,3.935841602161174,66.12684021980905,14.627356342371328,36.375033097391835,139.26454836887225,4.570292831977414,0.9932644418185307,26.025599669475177,12.429961155437734,11.630499323947147,41.631475100755424,6.562119584764691,72.95462190238766,63.06649942690776,3.2214951260465208,0.9534520532684064,12.018241547354549,15.786958133725568,19.644960620476347,52.400229288521395,1.965190935935589,11.917658241528489,58.87834965324896,26.721820457436884,20.519575152766677,40.95581780852826,24.85917553274972,58.748455239413346,3.576091129566135,0.8071018747002636,15.652311357102896,53.70723030975727,,41.89914162872685,67.6042864258393,16.261914953669688,1.1469635411557493
3,Computer Science,24.702430931672225,0.5397783029361793,3.6724966446932283,57.17308053492306,12.721915657747191,30.399310129359417,121.0228714782491,3.470038238093235,,22.80613366167951,11.729501215441969,11.290033514639672,37.94659768539154,6.2397716191405515,58.72327765062733,53.094190800902645,3.389768132911343,1.036306062795649,9.2311386506494,12.756157580473444,16.03598285774829,44.23739064099804,1.7810920291246939,11.469331755606827,48.079040100972506,22.48004747553707,16.641400830649637,30.1630030214173,21.390843146931775,48.82119899598031,2.844665788566261,0.6106482280764447,12.052322254635333,48.302926296787035,0.5580796184876539,34.621814306611455,56.81073674023705,14.069918677454298,1.2155363130954335
4,Engineering Systems & Computing,30.443627885301158,,3.9905247761150138,70.24061610412008,15.270317210755053,39.04473828712749,147.9532502644723,5.2085662310023535,1.1953988779175246,27.75069423352875,13.50445459488518,11.763510545004117,43.642630488603636,6.724768608387999,80.64492833840019,67.07268925021589,3.372071349740167,1.1100580798090798,12.874810446846881,16.871414534333486,21.05003340650337,56.37460691848868,1.9700972856661725,12.563846956048794,65.2391614449265,28.629026210114787,21.981965709975157,44.011139336610285,26.14540669892554,64.45161078451981,4.176893042438502,0.8060069727524022,16.977258839578994,56.54849977146586,,44.49463257646044,73.54673965936439,17.229292486723853,1.146930724594632
5,Environmental Engineering,12.254779274590277,,1.306069568572429,45.42583803470805,5.29120104123994,21.281969439127263,80.77289132095513,3.724091229638427,1.5670437492936233,8.904140537324649,6.091493498429556,3.37576305122645,17.749191336758187,3.474402951148616,50.162778874611114,32.778554540155824,,,7.165537324745396,11.42319134051004,13.220139868918093,28.159585657883003,,5.016058970566801,41.726699669370284,16.809000858866106,12.308041884335523,25.315983579299623,9.624105228284378,33.63908284242756,1.9885804867804968,,12.016395865637312,18.014000080763136,,31.394867487717264,36.38345289742493,8.11656244647434,
6,Mechanical Engineering,16.302124558199225,,0.6701275845634264,40.10170729855969,6.30642962486088,23.080017745942776,78.49121117311819,4.213001339183607,1.7398646089515553,11.317945072770888,6.790777884289351,3.369280086164607,17.41789080255501,3.1627092563444386,52.254687536495,35.40786637235336,0.7910719944015099,,7.19409055775241,10.548228549868286,13.209214331468567,29.97265803132516,,5.189757043180884,41.412492460614466,15.703680600427656,13.364214765489308,29.175300601358984,10.790065071539784,38.21755321108707,3.2313335933025362,,11.391147544406849,22.22657652715514,,27.352191538393168,40.26023387568244,8.425970937167145,
7,Software Engineering,24.259039245019196,0.5402056259416994,3.67682364822814,56.3770705297817,12.660437545632343,30.18082211148982,120.04285122041463,3.2942032927833904,,22.541362340212086,11.470661312099573,11.307357311947802,37.595138796509936,6.2327397723785065,58.09540692120597,52.71039123944853,3.302070844371425,1.0426013310936535,9.245293166244394,12.52205143285501,15.875971654762221,43.82039096528357,1.7798267080869805,11.415576346336708,47.85910302879069,22.146052118350667,16.506676492811806,29.9231682402165,21.240348068173418,48.511996309575686,2.87881793445072,0.6110121111956835,11.84044779582392,48.056645756563874,0.5574971520542522,34.28765871426714,56.372767689069946,14.01665875822783,1.215168368553353
8,Water Resources Engineering,11.62164446006873,,1.0333472268865689,43.5214864653031,5.155184296000955,20.43200878688602,78.33053575430888,3.6625354116369464,1.567160383278774,8.772696301838954,5.819951974217471,3.0379128456062716,17.387303120340622,3.4144790380253482,48.62039194400732,31.347535319701034,,,7.023174467815549,11.19738126081269,12.853146417083279,27.08592396195379,,4.958581989629039,40.66584394671137,15.961113861336669,11.796586709872317,24.863864482900766,9.424418677416424,32.53995518369045,1.9539059881154437,,11.676197501872672,17.22172423546711,,30.476050427784006,35.39291332314135,7.933640559447724,
