program_name,,active listen,goal,accountability,decision,decision make,creativity,curiosity,analytical,diverse,commitment,detail,communication,optimism,critical think,enthusiasm,strategic think,integrity,coordination,problem solve,presentation,passion,initiative,leadership,flexibility,conceptual,ethic,argumentation,adaptive,mentor,impartiality,motivate,emotional intelligence,self confidence,oral communication,coach,negotiation,eagerness,speak,influence,kindness,hospitality,conflict management,social skill,persuasion,interpersonal communication,self organize
Biological Engineering,term_frequency,0.004878724904597921,0.004260833975414101,0.004376571853388109,0.003107188675608662,0.0027959097860575993,0.0017463352394304016,0.0014859250139888827,0.0016259305115380865,0.0013118515120360394,0.0013692537660312128,0.0017090004400839474,0.0015059924686376019,0.0012143143487434273,0.0012367152283512999,0.0011489784498871323,0.0009193694339064381,0.001102776635695895,0.001411255415295974,0.0008881015394537825,0.0011965803190538615,0.0006967606928032041,0.0010598416164474724,0.00074202913701078,0.0006748264981871621,0.0003999490379988921,0.0006514922485956282,0.00047928548661010754,0.0004260833975414101,0.00021840857617675788,0.0001932075866179012,0.00018527394175677964,0.00018154046182213422,0.00016893996704270587,0.00020394134143000682,8.913683343965973e-05,0.00017174007699368994,0.00010127064322725738,0.00011620456296583912,6.860269379910984e-05,8.026981859487682e-05,2.426761957519532e-05,1.5867289722243093e-05,1.0733754812105621e-05,3.2667949428147545e-06,9.333699836613584e-07,0.0
Biomedical Engineering,term_frequency,0.004968890558184354,0.00408101692932415,0.004529879533650842,0.0033840176589567793,0.003083544475264838,0.0020232682000240134,0.0015497766462143766,0.0017523497557116073,0.0013342733382385992,0.0013706010387259445,0.0017129434365388938,0.0015583967785334075,0.0011871153650779968,0.001301024256436622,0.0011698751004399347,0.0009137340258172962,0.0011631021393321245,0.0014130859765840262,0.001081210882301329,0.0011501719408535777,0.0008090609905147758,0.0010344158782837317,0.0008299955975752799,0.000657592951194658,0.0005018148457150245,0.0007031565077381081,0.00043100661595155484,0.0003996047053607987,0.00022966495392847137,0.00022597061150602947,0.00020503600444552538,0.00018225422617380033,0.0001680925802211064,0.00021673475544992473,0.00011021454893618332,0.0001853328448591686,0.00010221014035422587,0.0001274548135742455,7.388684844883798e-05,9.728435045763666e-05,2.278177827172504e-05,1.9087435849283143e-05,1.1083027267325696e-05,3.6943424224418987e-06,1.2314474741472997e-06,0.0
Computer Engineering,term_frequency,0.005661055809402081,0.003928567896137509,0.003724370425697486,0.003988550903079266,0.0035278303603989637,0.0029015184315337047,0.0017602460069025127,0.0016042263771444325,0.001665804676824002,0.0015975261476456192,0.0011779641576008838,0.0013033541667929606,0.0013508938903797785,0.001323773913836963,0.0013314313189784638,0.0015793398104345545,0.0012931442932709596,0.0008292331651150317,0.0013256882651223381,0.0010254541718659916,0.0013859903306116575,0.0008649677224420358,0.0007880746124794645,0.0007970082518112156,0.0009211220268130423,0.0006074874745590691,0.0004294528050191738,0.00042466692680573576,0.0004655064208937404,0.0003780843788616055,0.00020196406060708546,0.00019494477256070967,0.0002057927631778359,0.0001391095267372658,0.0002603517748110296,0.00012889965321526465,0.00018505395758627104,0.00015984833232883067,0.00011645636986032574,7.944557834307154e-05,0.00011167049164688769,9.252697879313551e-06,5.423995308563116e-06,6.062112403688189e-06,3.1905854756253627e-06,2.2334098329377537e-06
Computer Science,term_frequency,0.005819574803870165,0.003857713890095284,0.0035963074559715808,0.0038457124469217425,0.0033461523748230726,0.0030386153935010687,0.001809217558411399,0.0017717130484940814,0.0016865778109817705,0.0016201948284281186,0.0010887559228997287,0.0012631518940152554,0.0014255464219572404,0.0013554129884118566,0.0013550379433126833,0.0018298450388659236,0.0012867797352631653,0.0006825820804951796,0.001413920023882872,0.0010186224893543449,0.001518932651651361,0.0008307248946685839,0.000719711545313324,0.0008239740828834667,0.0009687414911643125,0.0005569419722721657,0.00041104942869380043,0.00043542736014005683,0.0004999351171978431,0.00040767402280124187,0.0002085250751402856,0.00017327083581800712,0.00023852868307413965,0.00013239092000813098,0.0002779084184873231,0.00010913812385939409,0.00019464840647087813,0.00016539488873537042,0.00013689146119820909,7.613415513215464e-05,0.00013089073961143827,9.37612747932939e-06,4.875586289251283e-06,6.7508117851171604e-06,2.625315694212229e-06,2.625315694212229e-06
Engineering Systems & Computing,term_frequency,0.00559790634561036,0.003932877388004011,0.003767770182648361,0.004013946213655257,0.0035655435516282214,0.0028780917883218723,0.0017362982548821697,0.0015492163495331415,0.0016442420792342352,0.0015789118900647334,0.0012329588428716895,0.0013054159617687732,0.0013413475658119994,0.001338674967164156,0.001339268877974788,0.0014960613319815923,0.0012873016820445023,0.0008742367132500611,0.0013662918198585365,0.001011133155100699,0.0013463958077023698,0.0008935388145955958,0.0007732718754426491,0.000791683110572236,0.0009238282659378193,0.0006123220457614219,0.0004415726877047693,0.0004451361525685603,0.0004531539485120901,0.00035872212962162833,0.00020638400669456265,0.00019123928102345088,0.00021113529317961735,0.0001490716134685906,0.0002479577634387911,0.00012620604725926493,0.00018411235129586883,0.0001594650526546477,0.00011462478645194416,8.31475134884569e-05,0.00010512221348183479,9.50257297010936e-06,5.345197295686515e-06,5.048241890370598e-06,3.860420269106928e-06,2.0786878372114223e-06
Environmental Engineering,term_frequency,0.004933609304111076,0.004691543973367923,0.0040472589768949865,0.0033296208498938213,0.0029763032711828557,0.0015349142563031734,0.0015318578758644972,0.001254949808120436,0.0013692584365269248,0.0013582554669476906,0.0016107124911823424,0.0014493356040202407,0.0013111872081920776,0.0011858756102063545,0.001212771758066705,0.0008942969163566478,0.0010642316687470429,0.0015917629324625501,0.0008301129271444482,0.0011858756102063545,0.0005605401724532099,0.0011186352405554787,0.0007439229987737802,0.0006711811443332873,0.0003459822656581426,0.0006296143703672913,0.0005049140484693035,0.0004645698266787781,0.00021761428723374342,0.00019010686328565788,0.0002102789741809206,0.00019132941546112835,0.00017176858065360084,0.00019377451981206928,8.92463088093442e-05,0.0001778813415309532,9.474779359896132e-05,0.00012408904581025256,6.601781747540531e-05,6.05163326857882e-05,2.689614786035031e-05,1.7727006544321794e-05,1.0391693491498984e-05,2.445104350940937e-06,2.445104350940937e-06,0.0
Mechanical Engineering,term_frequency,0.005116894229113733,0.004332338562834887,0.00444972843808858,0.0041112542977737665,0.003764954165775373,0.002171060526219681,0.0015241118803771085,0.0011797682462996104,0.0014458519635413133,0.0014595474489875776,0.0016591102369188549,0.0015469376894542153,0.0012652019888453531,0.0012749844784498276,0.0011719422546160308,0.0008602069192201138,0.0012391153499000881,0.001638240925762643,0.001173246586563294,0.0010382482300215475,0.0007532516995445273,0.0010806390183076033,0.0008608590851937455,0.0006939045959440494,0.0007030349195748921,0.0007076000813903135,0.00048260282048740274,0.00043564687038592575,0.0002810835346352305,0.00022369292895564748,0.00023282325258649025,0.0002530403977690706,0.0001728239830123807,0.00020412794974669873,0.00011673770928006094,0.00019760629001038248,0.0001389113523835362,0.00013238969264721994,7.630341891490017e-05,9.26075682556908e-05,3.4564796602476145e-05,1.956497920894876e-05,7.173825709947879e-06,4.565161815421378e-06,3.9129958417897525e-06,6.521659736316254e-07
Software Engineering,term_frequency,0.005754668480479258,0.0038442638113745874,0.0035896692881453906,0.003924462977681556,0.003434567126891348,0.0030721576866928777,0.0017946454950955562,0.0017564374017134629,0.0016921267494861769,0.0016263029054417782,0.0010830670430983511,0.0013138287952080242,0.0014435849935254305,0.0013486322070016142,0.0013641424231270185,0.0018128037969009074,0.001288861130225666,0.0006801797217921184,0.001350901994727283,0.0010214044765510123,0.0015279454373294586,0.0008333903932747703,0.00071876611312849,0.0008269593280520417,0.0009695776568149052,0.0005572328866517189,0.00041272306811746456,0.00043844732900837893,0.000500488193509996,0.00040780519471184855,0.0001948234464532486,0.00018498769964201664,0.00023378813574389835,0.0001373221574029694,0.0002795621882115548,0.00010819321492355165,0.00019520174440752677,0.00016758599374522163,0.00013770045535724755,7.603788880990868e-05,0.00013202598604307529,9.079150902675664e-06,4.917873405615984e-06,6.431065222728595e-06,1.8914897713907633e-06,2.6480856799470687e-06
Water Resources Engineering,term_frequency,0.00491608875424219,0.004701852638317768,0.004035830360282136,0.003359096276450284,0.0029948948793787657,0.0015235968479566286,0.001526117272849857,0.0012337479852353509,0.0013635498672366188,0.0013459068929840192,0.0016149622503361617,0.0014385325078101667,0.0012860468017698425,0.0011997222491767663,0.0011946813993903092,0.0008859293499698179,0.0010466064369131349,0.0016124418254429332,0.0007662091675414641,0.0011921609744970807,0.000553863370286963,0.001118438546370147,0.0007529769368520145,0.0006754738713852382,0.00034466810414899744,0.0006364072855401964,0.0005091258284321571,0.0004461152061014446,0.00021738664704095816,0.00019029207943875177,0.00021423611592442254,0.00019155229188536603,0.0001682383616230024,0.00020163399145828003,9.010518993291889e-05,0.00019344261055528742,9.262561482614739e-05,0.0001253911384381179,6.616115344724813e-05,5.9229984990869763e-05,2.5204248932285004e-05,1.76429742525995e-05,1.0711805796221126e-05,2.5204248932285003e-06,1.8903186699213753e-06,0.0
