,year,soft_skill,tf_idf_weight,rank,rank_type
0,2012,communication,32.0893907279474,1,top
1,2012,goal,24.480649267332726,2,top
2,2012,active listening,21.767396742536516,3,top
3,2012,accountability,13.59584718768075,4,top
4,2012,creativity,12.05843934463755,5,top
5,2012,problem solving,9.23092530450944,6,top
6,2012,emotional intelligence,7.006822769844409,7,top
7,2012,motivated,7.006822769844409,8,top
8,2012,coordination,6.750346177747024,9,top
9,2012,impartiality,6.632302489188191,10,top
10,2012,influence,0.0,10,bottom
11,2012,hospitality,0.0,9,bottom
12,2012,kindness,0.0,8,bottom
13,2012,conflict management,0.0,7,bottom
14,2012,persuasion,0.0,6,bottom
15,2012,coaching,0.0,5,bottom
16,2012,self-organized,0.0,4,bottom
17,2012,adaptive,0.0,3,bottom
18,2012,social skills,0.0,2,bottom
19,2012,negotiation,0.0,1,bottom
20,2013,communication,77.09559681461758,1,top
21,2013,goal,62.134344876025594,2,top
22,2013,active listening,54.931604105419446,3,top
23,2013,accountability,33.1608013202126,4,top
24,2013,creativity,31.184505424232846,5,top
25,2013,problem solving,20.052264398119043,6,top
26,2013,impartiality,18.468357706392844,7,top
27,2013,emotional intelligence,18.210390517124964,8,top
28,2013,motivated,18.210390517124964,9,top
29,2013,curiosity,16.402038682927838,10,top
30,2013,negotiation,2.045115521972527,10,bottom
31,2013,speaking,1.8125214150325657,9,bottom
32,2013,influence,1.1226507826063719,8,bottom
33,2013,coaching,1.09068571256186,7,bottom
34,2013,kindness,0.0,6,bottom
35,2013,persuasion,0.0,5,bottom
36,2013,hospitality,0.0,4,bottom
37,2013,self-organized,0.0,3,bottom
38,2013,social skills,0.0,2,bottom
39,2013,conflict management,0.0,1,bottom
40,2014,communication,82.14192316866718,1,top
41,2014,goal,63.88645010898815,2,top
42,2014,active listening,57.807451159479896,3,top
43,2014,accountability,40.42366615791197,4,top
44,2014,creativity,34.3384563741302,5,top
45,2014,problem solving,21.412465265976277,6,top
46,2014,motivated,19.51794635361846,7,top
47,2014,emotional intelligence,19.51794635361846,8,top
48,2014,curiosity,19.516302756634648,9,top
49,2014,impartiality,18.776950735260478,10,top
50,2014,speaking,2.3127362143241954,10,bottom
51,2014,influence,1.570340224776386,9,bottom
52,2014,eagerness,1.265574952337671,8,bottom
53,2014,hospitality,0.9385061775531874,7,bottom
54,2014,coaching,0.8155970477104966,6,bottom
55,2014,kindness,0.46609836958566464,5,bottom
56,2014,persuasion,0.0,4,bottom
57,2014,self-organized,0.0,3,bottom
58,2014,social skills,0.0,2,bottom
59,2014,conflict management,0.0,1,bottom
60,2015,communication,98.45148976733029,1,top
61,2015,goal,71.59925838775936,2,top
62,2015,active listening,67.63593357375159,3,top
63,2015,accountability,43.310850889179974,4,top
64,2015,creativity,39.9658210797704,5,top
65,2015,problem solving,24.332766026508835,6,top
66,2015,emotional intelligence,22.016151081693028,7,top
67,2015,motivated,22.016151081693028,8,top
68,2015,impartiality,21.809547205792665,9,top
69,2015,curiosity,20.577911224516953,10,top
70,2015,speaking,1.7719949759511051,10,bottom
71,2015,coaching,1.74565785039018,9,bottom
72,2015,self-confidence,1.605058039842974,8,bottom
73,2015,hospitality,1.5298114435589731,7,bottom
74,2015,influence,1.3734884671287786,6,bottom
75,2015,kindness,0.8060690295865396,5,bottom
76,2015,persuasion,0.0,4,bottom
77,2015,self-organized,0.0,3,bottom
78,2015,social skills,0.0,2,bottom
79,2015,conflict management,0.0,1,bottom
80,2016,communication,109.14078970956537,1,top
81,2016,active listening,76.41704862057276,2,top
82,2016,goal,72.0852808934481,3,top
83,2016,accountability,44.17653163635933,4,top
84,2016,creativity,41.624769561699495,5,top
85,2016,problem solving,25.371588497051157,6,top
86,2016,motivated,24.1927333300047,7,top
87,2016,emotional intelligence,24.1927333300047,8,top
88,2016,analytical,21.168957866436664,9,top
89,2016,curiosity,20.894042965710554,10,top
90,2016,influence,2.3257165136781213,10,bottom
91,2016,self-confidence,2.267506574092031,9,bottom
92,2016,speaking,2.042094616326917,8,bottom
93,2016,eagerness,1.8195018733941486,7,bottom
94,2016,hospitality,1.7889952809092462,6,bottom
95,2016,kindness,0.9977388493735935,5,bottom
96,2016,persuasion,0.0,4,bottom
97,2016,self-organized,0.0,3,bottom
98,2016,social skills,0.0,2,bottom
99,2016,conflict management,0.0,1,bottom
100,2017,communication,113.66339969466905,1,top
101,2017,goal,79.09737547834516,2,top
102,2017,active listening,78.95632777126366,3,top
103,2017,creativity,50.40001819069706,4,top
104,2017,accountability,47.08236717506017,5,top
105,2017,problem solving,29.10590428616488,6,top
106,2017,curiosity,24.458781555877398,7,top
107,2017,decision making,24.22338837391756,8,top
108,2017,motivated,23.910290428500932,9,top
109,2017,emotional intelligence,23.910290428500932,10,top
110,2017,hospitality,3.516242639810974,10,bottom
111,2017,speaking,2.8523981543967074,9,bottom
112,2017,eagerness,2.2112148038890806,8,bottom
113,2017,self-confidence,1.9837309246966797,7,bottom
114,2017,influence,1.561781442056988,6,bottom
115,2017,kindness,1.4292750871089623,5,bottom
116,2017,conflict management,0.0,4,bottom
117,2017,persuasion,0.0,3,bottom
118,2017,self-organized,0.0,2,bottom
119,2017,social skills,0.0,1,bottom
120,2018,communication,127.94750244676146,1,top
121,2018,goal,91.01911218418716,2,top
122,2018,active listening,89.23787280352799,3,top
123,2018,creativity,59.98095361901155,4,top
124,2018,accountability,55.43189364699652,5,top
125,2018,problem solving,35.08855144482288,6,top
126,2018,curiosity,30.853375354151943,7,top
127,2018,decision making,29.19490496355419,8,top
128,2018,emotional intelligence,28.599336272222146,9,top
129,2018,critical thinking,28.37814575168151,10,top
130,2018,interpersonal communication,4.062473097011755,10,bottom
131,2018,eagerness,3.819794051461253,9,bottom
132,2018,influence,3.3924606820186085,8,bottom
133,2018,self-confidence,2.1938465194862378,7,bottom
134,2018,kindness,2.164303803957958,6,bottom
135,2018,hospitality,1.5864796134774517,5,bottom
136,2018,persuasion,0.789068291010722,4,bottom
137,2018,conflict management,0.0,3,bottom
138,2018,self-organized,0.0,2,bottom
139,2018,social skills,0.0,1,bottom
140,2019,communication,133.9211395032169,1,top
141,2019,active listening,92.01228526482231,2,top
142,2019,goal,90.8971540095673,3,top
143,2019,creativity,72.86208881994905,4,top
144,2019,accountability,57.240864059307164,5,top
145,2019,problem solving,39.46577625244497,6,top
146,2019,curiosity,35.344416250785414,7,top
147,2019,analytical,34.164262722465764,8,top
148,2019,critical thinking,33.023462665378986,9,top
149,2019,decision making,32.18653759936408,10,top
150,2019,interpersonal communication,4.5137680658584465,10,bottom
151,2019,eagerness,4.491311718389922,9,bottom
152,2019,speaking,3.7836151691461555,8,bottom
153,2019,self-confidence,2.877675296144671,7,bottom
154,2019,hospitality,2.4065515999039224,6,bottom
155,2019,kindness,2.1355418089414107,5,bottom
156,2019,persuasion,1.1760602837505418,4,bottom
157,2019,conflict management,0.0,3,bottom
158,2019,self-organized,0.0,2,bottom
159,2019,social skills,0.0,1,bottom
160,2020,communication,108.60160195515292,1,top
161,2020,goal,76.46140274146101,2,top
162,2020,active listening,75.47298242368561,3,top
163,2020,creativity,52.97587060319655,4,top
164,2020,accountability,43.563833722424896,5,top
165,2020,problem solving,30.210316965138013,6,top
166,2020,curiosity,27.237952135286708,7,top
167,2020,critical thinking,26.885472625634957,8,top
168,2020,decision making,25.80824526103235,9,top
169,2020,emotional intelligence,23.761760988885268,10,top
170,2020,eagerness,3.6991811887645056,10,bottom
171,2020,speaking,3.5693346701764845,9,bottom
172,2020,interpersonal communication,2.840925660547547,8,bottom
173,2020,influence,2.72640512215752,7,bottom
174,2020,kindness,1.9147445683650526,6,bottom
175,2020,hospitality,1.6566343554433196,5,bottom
176,2020,persuasion,0.0,4,bottom
177,2020,conflict management,0.0,3,bottom
178,2020,self-organized,0.0,2,bottom
179,2020,social skills,0.0,1,bottom
180,2021,communication,123.3516843871692,1,top
181,2021,goal,90.69352171779941,2,top
182,2021,active listening,85.38873057859544,3,top
183,2021,creativity,58.90879041210284,4,top
184,2021,accountability,51.51320691789715,5,top
185,2021,critical thinking,36.36360872396497,6,top
186,2021,problem solving,34.106351444852145,7,top
187,2021,curiosity,31.01047465023767,8,top
188,2021,analytical,30.10014135637631,9,top
189,2021,decision making,29.78967960912866,10,top
190,2021,eagerness,3.7642057211222992,10,bottom
191,2021,speaking,3.5493764791380147,9,bottom
192,2021,interpersonal communication,3.4488344236053377,8,bottom
193,2021,influence,3.3831737602001453,7,bottom
194,2021,kindness,2.6368506809356536,6,bottom
195,2021,hospitality,1.1976750653514654,5,bottom
196,2021,conflict management,0.6223570836535368,4,bottom
197,2021,persuasion,0.0,3,bottom
198,2021,self-organized,0.0,2,bottom
199,2021,social skills,0.0,1,bottom
200,2022,communication,128.34024917938095,1,top
201,2022,goal,94.35271955196441,2,top
202,2022,active listening,88.25200880216155,3,top
203,2022,creativity,62.18765674218512,4,top
204,2022,accountability,56.44488755308818,5,top
205,2022,problem solving,36.8574410686321,6,top
206,2022,critical thinking,34.964205401861165,7,top
207,2022,curiosity,32.57296845472226,8,top
208,2022,decision making,32.073957668762844,9,top
209,2022,motivated,29.7660878440859,10,top
210,2022,self-confidence,4.275427118442268,10,bottom
211,2022,interpersonal communication,3.8645197561662235,9,bottom
212,2022,kindness,3.648867135304402,8,bottom
213,2022,influence,3.0032664079555595,7,bottom
214,2022,speaking,2.984665976964705,6,bottom
215,2022,hospitality,1.075390102865021,5,bottom
216,2022,conflict management,0.0,4,bottom
217,2022,persuasion,0.0,3,bottom
218,2022,self-organized,0.0,2,bottom
219,2022,social skills,0.0,1,bottom
220,2023,communication,73.3933445045563,1,top
221,2023,goal,54.178647134780505,2,top
222,2023,active listening,51.792615696862974,3,top
223,2023,creativity,36.259254291351894,4,top
224,2023,accountability,30.91565092309186,5,top
225,2023,problem solving,21.27299283948768,6,top
226,2023,emotional intelligence,19.128793185255784,7,top
227,2023,curiosity,18.641159093720233,8,top
228,2023,motivated,18.59843299987644,9,top
229,2023,diverse,16.921039474591755,10,top
230,2023,self-confidence,2.372536440492148,10,bottom
231,2023,eagerness,2.2288381002218207,9,bottom
232,2023,speaking,1.3440003203398938,8,bottom
233,2023,influence,1.2584495195960923,7,bottom
234,2023,kindness,0.9890553473129182,6,bottom
235,2023,hospitality,0.6763807554586861,5,bottom
236,2023,conflict management,0.0,4,bottom
237,2023,persuasion,0.0,3,bottom
238,2023,self-organized,0.0,2,bottom
239,2023,social skills,0.0,1,bottom
